Hospital;%_Hospital;Split;Total_split;BreastMRI;CXR;HeadCT;ChestCT;Hand;AbdomenCT
29;1.07%;Train;470;0.00%;17.02%;17.23%;0.85%;0.00%;64.89%
29;1.07%;Val;93;0.00%;17.20%;17.20%;0.00%;0.00%;65.59%
29;1.07%;Test;66;0.00%;16.67%;16.67%;3.03%;1.52%;62.12%
3;2.44%;Train;1075;6.14%;22.79%;12.47%;58.23%;0.37%;0.00%
3;2.44%;Val;213;6.10%;23.00%;12.21%;58.69%;0.00%;0.00%
3;2.44%;Test;149;6.71%;22.15%;12.75%;56.38%;1.34%;0.67%
30;0.50%;Train;220;21.36%;44.55%;20.91%;9.09%;1.36%;2.73%
30;0.50%;Val;42;21.43%;45.24%;21.43%;9.52%;0.00%;2.38%
30;0.50%;Test;34;20.59%;41.18%;20.59%;8.82%;2.94%;5.88%
31;1.56%;Train;686;12.10%;0.00%;1.46%;1.17%;85.28%;0.00%
31;1.56%;Val;136;11.76%;0.00%;1.47%;0.74%;86.03%;0.00%
31;1.56%;Test;96;12.50%;0.00%;2.08%;2.08%;82.29%;1.04%
32;1.97%;Train;870;0.80%;24.48%;49.31%;12.99%;12.41%;0.00%
32;1.97%;Val;171;0.58%;24.56%;49.71%;12.87%;12.28%;0.00%
32;1.97%;Test;120;1.67%;24.17%;48.33%;13.33%;12.50%;0.00%
33;1.25%;Train;549;14.75%;38.80%;2.91%;0.00%;4.37%;39.16%
33;1.25%;Val;108;14.81%;38.89%;2.78%;0.00%;3.70%;39.81%
33;1.25%;Test;78;15.38%;37.18%;3.85%;1.28%;5.13%;37.18%
34;2.84%;Train;1254;6.70%;0.16%;4.78%;86.20%;2.15%;0.00%
34;2.84%;Val;249;6.43%;0.00%;4.82%;86.75%;2.01%;0.00%
34;2.84%;Test;173;7.51%;0.58%;4.62%;83.82%;2.89%;0.58%
35;1.45%;Train;639;0.00%;0.31%;48.20%;15.81%;11.74%;23.94%
35;1.45%;Val;126;0.00%;0.00%;48.41%;15.87%;11.90%;23.81%
35;1.45%;Test;88;0.00%;1.14%;47.73%;15.91%;11.36%;23.86%
36;0.88%;Train;387;1.03%;0.00%;13.70%;0.00%;81.40%;3.88%
36;0.88%;Val;76;0.00%;0.00%;13.16%;0.00%;82.89%;3.95%
36;0.88%;Test;57;3.51%;0.00%;14.04%;1.75%;75.44%;5.26%
37;3.36%;Train;1482;23.75%;0.61%;33.74%;5.67%;9.85%;26.38%
37;3.36%;Val;294;23.81%;0.34%;34.01%;5.44%;9.86%;26.53%
37;3.36%;Test;203;23.65%;1.48%;33.00%;5.91%;9.85%;26.11%
38;0.61%;Train;266;65.41%;5.64%;0.00%;11.65%;12.78%;4.51%
38;0.61%;Val;51;66.67%;5.88%;0.00%;11.76%;11.76%;3.92%
38;0.61%;Test;40;60.00%;5.00%;2.50%;12.50%;15.00%;5.00%
39;2.59%;Train;1143;4.81%;0.79%;5.95%;4.64%;83.03%;0.79%
39;2.59%;Val;225;4.89%;0.44%;5.78%;4.44%;84.00%;0.44%
39;2.59%;Test;160;5.00%;1.88%;6.25%;5.00%;80.00%;1.88%
4;0.80%;Train;353;0.00%;5.10%;69.41%;18.70%;6.80%;0.00%
4;0.80%;Val;69;0.00%;4.35%;71.01%;18.84%;5.80%;0.00%
4;0.80%;Test;52;0.00%;7.69%;63.46%;19.23%;7.69%;1.92%
40;0.83%;Train;366;0.00%;9.29%;35.79%;6.28%;1.91%;46.72%
40;0.83%;Val;71;0.00%;8.45%;36.62%;5.63%;1.41%;47.89%
40;0.83%;Test;55;1.82%;10.91%;32.73%;7.27%;3.64%;43.64%
41;2.40%;Train;1059;0.47%;0.94%;49.01%;2.55%;1.98%;45.04%
41;2.40%;Val;210;0.48%;0.95%;49.05%;2.38%;1.90%;45.24%
41;2.40%;Test;147;0.68%;1.36%;47.62%;3.40%;2.72%;44.22%
42;1.37%;Train;606;100.00%;0.00%;0.00%;0.00%;0.00%;0.00%
42;1.37%;Val;121;100.00%;0.00%;0.00%;0.00%;0.00%;0.00%
42;1.37%;Test;83;98.80%;0.00%;0.00%;1.20%;0.00%;0.00%
43;4.38%;Train;1934;22.91%;52.74%;12.36%;0.00%;1.55%;10.44%
43;4.38%;Val;385;22.86%;52.99%;12.21%;0.00%;1.56%;10.39%
43;4.38%;Test;263;22.81%;52.09%;12.55%;0.38%;1.52%;10.65%
44;3.47%;Train;1535;0.00%;1.30%;31.99%;11.73%;41.04%;13.94%
44;3.47%;Val;306;0.00%;1.31%;32.03%;11.76%;41.18%;13.73%
44;3.47%;Test;207;0.00%;1.45%;31.88%;11.59%;40.58%;14.49%
45;2.28%;Train;1004;2.09%;5.68%;3.88%;23.90%;58.96%;5.48%
45;2.28%;Val;199;2.01%;5.53%;3.52%;24.12%;59.30%;5.53%
45;2.28%;Test;140;2.14%;6.43%;5.00%;23.57%;57.14%;5.71%
46;2.31%;Train;1016;88.29%;0.00%;1.57%;10.14%;0.00%;0.00%
46;2.31%;Val;202;88.61%;0.00%;1.49%;9.90%;0.00%;0.00%
46;2.31%;Test;141;85.82%;0.71%;2.13%;10.64%;0.00%;0.71%
47;1.04%;Train;459;1.09%;12.64%;1.96%;54.25%;30.07%;0.00%
47;1.04%;Val;89;1.12%;12.36%;1.12%;55.06%;30.34%;0.00%
47;1.04%;Test;67;1.49%;13.43%;4.48%;52.24%;28.36%;0.00%
48;0.72%;Train;317;79.18%;16.40%;0.00%;1.58%;0.00%;2.84%
48;0.72%;Val;62;80.65%;16.13%;0.00%;1.61%;0.00%;1.61%
48;0.72%;Test;47;72.34%;17.02%;2.13%;2.13%;0.00%;6.38%
49;1.78%;Train;783;0.13%;12.64%;2.04%;0.77%;10.34%;74.07%
49;1.78%;Val;155;0.00%;12.26%;1.94%;0.65%;10.32%;74.84%
49;1.78%;Test;109;0.92%;12.84%;2.75%;1.83%;10.09%;71.56%
5;1.92%;Train;847;48.76%;0.00%;21.25%;11.81%;7.56%;10.63%
5;1.92%;Val;168;48.81%;0.00%;21.43%;11.90%;7.14%;10.71%
5;1.92%;Test;117;47.86%;0.00%;21.37%;11.97%;8.55%;10.26%
50;3.62%;Train;1600;35.69%;0.19%;30.38%;0.19%;32.00%;1.56%
50;3.62%;Val;318;35.85%;0.00%;30.50%;0.00%;32.08%;1.57%
50;3.62%;Test;218;35.32%;0.46%;29.82%;0.92%;31.65%;1.83%
6;3.79%;Train;1672;0.00%;63.88%;0.00%;33.73%;2.39%;0.00%
6;3.79%;Val;333;0.00%;63.96%;0.00%;33.63%;2.40%;0.00%
6;3.79%;Test;228;0.44%;62.72%;0.44%;33.77%;2.63%;0.00%
7;3.03%;Train;1338;6.80%;0.00%;15.17%;54.48%;0.22%;23.32%
7;3.03%;Val;265;6.79%;0.00%;15.09%;54.72%;0.00%;23.40%
7;3.03%;Test;183;7.10%;0.00%;15.30%;54.10%;0.55%;22.95%
8;0.30%;Train;129;2.33%;17.05%;31.78%;13.95%;34.11%;0.78%
8;0.30%;Val;23;0.00%;17.39%;34.78%;13.04%;34.78%;0.00%
8;0.30%;Test;22;4.55%;18.18%;27.27%;13.64%;31.82%;4.55%
9;1.12%;Train;494;2.43%;0.61%;64.98%;10.93%;19.23%;1.82%
9;1.12%;Val;96;2.08%;0.00%;66.67%;10.42%;19.79%;1.04%
9;1.12%;Test;69;2.90%;1.45%;62.32%;11.59%;18.84%;2.90%
