metodo;hospital;AbdomenCT;BreastMRI;ChestCT;CXR;Hand;HeadCT
fedavg;Hospital_26;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_27;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA
fedavg;Hospital_28;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;0.9333±0.0943;1.0000±0.0000
fedavg;Hospital_29;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_30;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_31;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;0.9873±0.0103;1.0000±0.0000
fedavg;Hospital_32;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_33;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_34;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_35;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_36;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;0.9845±0.0219;1.0000±0.0000
fedavg;Hospital_37;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_38;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_39;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9714±0.0133;1.0000±0.0000
fedavg;Hospital_40;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.8333±0.2357;1.0000±0.0000
fedavg;Hospital_41;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_42;NA;1.0000±0.0000;1.0000±0.0000;NA;NA;NA
fedavg;Hospital_43;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.7500±0.0000;1.0000±0.0000
fedavg;Hospital_44;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;0.9802±0.0202;1.0000±0.0000
fedavg;Hospital_45;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9958±0.0059;1.0000±0.0000
fedavg;Hospital_46;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000
fedavg;Hospital_47;NA;1.0000±0.0000;1.0000±0.0000;0.8889±0.0000;0.9298±0.0248;1.0000±0.0000
fedavg;Hospital_48;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000
fedavg;Hospital_49;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9091±0.0000;1.0000±0.0000
fedavg;Hospital_50;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000
fedprox;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9924±0.0000;0.9861±0.0196;1.0000±0.0000
fedprox;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_4;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_6;NA;1.0000±0.0000;1.0000±0.0000;0.9977±0.0033;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_7;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_8;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_9;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_10;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9565±0.0000;1.0000±0.0000
fedprox;Hospital_11;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9807±0.0068;1.0000±0.0000
fedprox;Hospital_12;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_13;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_14;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_15;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_16;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_17;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_18;1.0000±0.0000;0.9949±0.0071;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_19;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9897±0.0084;1.0000±0.0000
fedprox;Hospital_20;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9545±0.0643;1.0000±0.0000
fedprox;Hospital_21;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9375±0.0000;1.0000±0.0000
fedprox;Hospital_22;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_23;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9111±0.0314;1.0000±0.0000
fedprox;Hospital_24;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.6667±0.4714;1.0000±0.0000
fedprox;Hospital_25;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_26;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_27;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA
fedprox;Hospital_28;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_29;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_30;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_31;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;0.9916±0.0060;1.0000±0.0000
fedprox;Hospital_32;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9778±0.0314;1.0000±0.0000
fedprox;Hospital_33;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_34;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_35;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_36;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;0.9922±0.0110;1.0000±0.0000
fedprox;Hospital_37;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_38;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_39;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9792±0.0074;1.0000±0.0000
fedprox;Hospital_40;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_41;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_42;NA;1.0000±0.0000;1.0000±0.0000;NA;NA;NA
fedprox;Hospital_43;1.0000±0.0000;0.9944±0.0079;1.0000±0.0000;0.9976±0.0034;0.9167±0.1179;1.0000±0.0000
fedprox;Hospital_44;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;0.9960±0.0056;1.0000±0.0000
fedprox;Hospital_45;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_46;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000
fedprox;Hospital_47;NA;1.0000±0.0000;1.0000±0.0000;0.8889±0.0000;0.9474±0.0000;1.0000±0.0000
fedprox;Hospital_48;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000
fedprox;Hospital_49;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9394±0.0429;1.0000±0.0000
fedprox;Hospital_50;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedewa;Hospital_1;1.0000±0.0000;0.6000±0.3266;1.0000±0.0000;1.0000±0.0000;NA;0.4259±0.4215
fedewa;Hospital_2;1.0000±0.0000;0.6667±0.2357;1.0000±0.0000;0.9771±0.0216;0.9861±0.0196;0.3333±0.4714
fedewa;Hospital_3;1.0000±0.0000;0.7000±0.4243;1.0000±0.0000;0.9899±0.0143;1.0000±0.0000;0.4386±0.4174
fedewa;Hospital_4;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.4646±0.4113
fedewa;Hospital_5;1.0000±0.0000;0.7202±0.3115;1.0000±0.0000;NA;1.0000±0.0000;0.5467±0.4135
fedewa;Hospital_6;NA;0.6667±0.4714;1.0000±0.0000;0.9907±0.0087;1.0000±0.0000;0.6667±0.4714
fedewa;Hospital_7;1.0000±0.0000;0.7179±0.3459;1.0000±0.0000;NA;1.0000±0.0000;0.5119±0.4086
fedewa;Hospital_8;1.0000±0.0000;0.6667±0.4714;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.6111±0.4374
fedewa;Hospital_9;0.8333±0.2357;0.6667±0.4714;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.5039±0.4083
fedewa;Hospital_10;1.0000±0.0000;0.6667±0.4088;1.0000±0.0000;1.0000±0.0000;0.9710±0.0205;0.5357±0.4114
fedewa;Hospital_11;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9894±0.0150;0.9855±0.0118;0.4444±0.4157
fedewa;Hospital_12;1.0000±0.0000;0.6667±0.2357;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.3333±0.4714
fedewa;Hospital_13;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.6111±0.4374
fedewa;Hospital_14;1.0000±0.0000;0.6667±0.3600;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.5409±0.4123
fedewa;Hospital_15;1.0000±0.0000;0.7143±0.3086;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.4762±0.4096
fedewa;Hospital_16;1.0000±0.0000;0.7094±0.3165;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.5040±0.4083
fedewa;Hospital_17;1.0000±0.0000;0.8333±0.2357;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.6667±0.4714
fedewa;Hospital_18;1.0000±0.0000;0.7121±0.2797;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.4800±0.4092
fedewa;Hospital_19;1.0000±0.0000;0.6667±0.4714;1.0000±0.0000;1.0000±0.0000;0.9966±0.0049;0.6190±0.4416
fedewa;Hospital_20;1.0000±0.0000;0.6429±0.3642;1.0000±0.0000;1.0000±0.0000;0.9848±0.0214;0.5417±0.4125
fedewa;Hospital_21;1.0000±0.0000;0.7222±0.2833;1.0000±0.0000;1.0000±0.0000;0.9792±0.0295;0.5000±0.4082
fedewa;Hospital_22;1.0000±0.0000;NA;1.0000±0.0000;0.8889±0.1571;1.0000±0.0000;0.4815±0.4091
fedewa;Hospital_23;1.0000±0.0000;0.6601±0.3179;1.0000±0.0000;0.9931±0.0097;0.9778±0.0314;0.4961±0.4083
fedewa;Hospital_24;1.0000±0.0000;0.8333±0.2357;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.5402±0.4122
fedewa;Hospital_25;1.0000±0.0000;0.7255±0.3475;1.0000±0.0000;0.9913±0.0122;1.0000±0.0000;0.4952±0.4083
fedewa;Hospital_26;NA;0.7174±0.3400;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.4444±0.4157
fedewa;Hospital_27;NA;0.6667±0.4714;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA
fedewa;Hospital_28;1.0000±0.0000;NA;1.0000±0.0000;0.9926±0.0105;1.0000±0.0000;0.5294±0.4104
fedewa;Hospital_29;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.4848±0.4088
fedewa;Hospital_30;1.0000±0.0000;0.6190±0.4416;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.5238±0.4096
fedewa;Hospital_31;1.0000±0.0000;0.7500±0.3536;1.0000±0.0000;NA;0.9916±0.0060;0.6667±0.4714
fedewa;Hospital_32;NA;0.5000±0.4082;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.5575±0.4163
fedewa;Hospital_33;1.0000±0.0000;0.7500±0.3536;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.6667±0.4714
fedewa;Hospital_34;1.0000±0.0000;0.6667±0.4182;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.5417±0.4125
fedewa;Hospital_35;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.5159±0.4089
fedewa;Hospital_36;1.0000±0.0000;0.6667±0.4714;1.0000±0.0000;NA;0.9845±0.0110;0.5833±0.4249
fedewa;Hospital_37;1.0000±0.0000;0.7014±0.3247;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.4826±0.4090
fedewa;Hospital_38;1.0000±0.0000;0.6944±0.3747;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.3333±0.4714
fedewa;Hospital_39;1.0000±0.0000;0.7083±0.4125;1.0000±0.0000;1.0000±0.0000;0.9844±0.0064;0.5333±0.4110
fedewa;Hospital_40;1.0000±0.0000;0.6667±0.4714;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.5185±0.4091
fedewa;Hospital_41;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.5048±0.4083
fedewa;Hospital_42;NA;0.6911±0.3621;1.0000±0.0000;NA;NA;NA
fedewa;Hospital_43;1.0000±0.0000;0.6778±0.3247;1.0000±0.0000;0.9927±0.0103;0.9167±0.1179;0.5354±0.4113
fedewa;Hospital_44;1.0000±0.0000;NA;1.0000±0.0000;0.8889±0.1571;0.9960±0.0056;0.5253±0.4098
fedewa;Hospital_45;1.0000±0.0000;0.8889±0.1571;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.5238±0.4096
fedewa;Hospital_46;1.0000±0.0000;0.6887±0.3669;1.0000±0.0000;1.0000±0.0000;NA;0.5556±0.4157
fedewa;Hospital_47;NA;0.6667±0.4714;1.0000±0.0000;0.8889±0.0000;0.9825±0.0248;0.3333±0.4714
fedewa;Hospital_48;1.0000±0.0000;0.6569±0.3330;1.0000±0.0000;1.0000±0.0000;NA;0.3333±0.4714
fedewa;Hospital_49;1.0000±0.0000;0.6667±0.4714;1.0000±0.0000;1.0000±0.0000;0.9697±0.0429;0.5556±0.4157
fedewa;Hospital_50;1.0000±0.0000;0.7013±0.3601;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.5231±0.4096
fedag;Hospital_1;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;NA;0.3333±0.4714
fedag;Hospital_2;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3308±0.4678;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_3;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_4;1.0000±0.0000;NA;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_5;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;NA;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_6;NA;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_7;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;NA;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_8;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_9;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_10;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3188±0.4509;0.3333±0.4714
fedag;Hospital_11;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3285±0.4646;0.3333±0.4714
fedag;Hospital_12;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_13;1.0000±0.0000;NA;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_14;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_15;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_16;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_17;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_18;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_19;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3299±0.4665;0.3333±0.4714
fedag;Hospital_20;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_21;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3125±0.4419;0.3333±0.4714
fedag;Hospital_22;1.0000±0.0000;NA;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_23;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3111±0.4400;0.3333±0.4714
fedag;Hospital_24;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_25;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_26;NA;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_27;NA;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;NA
fedag;Hospital_28;1.0000±0.0000;NA;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_29;1.0000±0.0000;NA;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_30;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_31;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;NA;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_32;NA;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_33;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_34;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_35;1.0000±0.0000;NA;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_36;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;NA;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_37;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_38;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_39;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3281±0.4640;0.3333±0.4714
fedag;Hospital_40;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_41;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_42;NA;0.3333±0.4714;0.3333±0.4714;NA;NA;NA
fedag;Hospital_43;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_44;1.0000±0.0000;NA;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_45;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_46;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;NA;0.3333±0.4714
fedag;Hospital_47;NA;0.3333±0.4714;0.3333±0.4714;0.2963±0.4190;0.3158±0.4466;0.3333±0.4714
fedag;Hospital_48;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;NA;0.3333±0.4714
fedag;Hospital_49;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3030±0.4285;0.3333±0.4714
fedag;Hospital_50;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
mh_random_search;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;0.9815±0.0262
mh_random_search;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9873±0.0072;0.9861±0.0196;1.0000±0.0000
mh_random_search;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.8772±0.0656
